x,Weights,y,Weights,error_LT
2.111166352989999950e+02,9.995945310000280415e-01,-7.910078268001830004e-01,9.995945310000280415e-01,-7.910078268001830004e-01
2.131158243609999943e+02,1.000678512999980008e+00,-7.899546227999959536e-01,1.000678512999980008e+00,-7.899546227999959536e-01
2.151171813869999880e+02,1.003462344999999978e+00,-7.917860527999780462e-01,1.003462344999999978e+00,-7.917860527999780462e-01
2.171241060769999933e+02,9.979438989999920295e-01,-7.683227937998250434e-01,9.979438989999920295e-01,-7.683227937998250434e-01
2.191199938750000058e+02,1.001680439000000034e+00,-7.445234358000329955e-01,1.001680439000000034e+00,-7.445234358000329955e-01
2.211233547530000010e+02,9.992719989999869767e-01,-7.463537638000159458e-01,9.992719989999869767e-01,-7.463537638000159458e-01
2.231218987510000034e+02,1.008286197000020090e+00,-7.515276948001879953e-01,1.008286197000020090e+00,-7.515276948001879953e-01
2.251384711450000111e+02,1.000227170000000054e+00,-7.566845958000389949e-01,1.000227170000000054e+00,-7.566845958000389949e-01
2.271389254849999872e+02,1.000641081999990023e+00,-7.777754158002490037e-01,1.000641081999990023e+00,-7.777754158002490037e-01
2.291402076489999899e+02,1.004847665000009993e+00,-7.958211887998910550e-01,1.004847665000009993e+00,-7.958211887998910550e-01
2.311499029789999895e+02,9.947066360000039742e-01,-8.033350108001400258e-01,9.947066360000039742e-01,-8.033350108001400258e-01
2.331393162509999968e+02,1.001565221999979993e+00,-7.889375977998720479e-01,1.001565221999979993e+00,-7.889375977998720479e-01
2.351424466949999896e+02,1.000423687000010053e+00,-7.867356457999219455e-01,1.000423687000010053e+00,-7.867356457999219455e-01
2.371432940690000066e+02,9.946326029999990048e-01,-7.796346837998839874e-01,9.946326029999990048e-01,-7.796346837998839874e-01
2.391325592750000055e+02,9.988409620000030520e-01,-7.801957017999829880e-01,9.988409620000030520e-01,-7.801957017999829880e-01
2.411302411990000110e+02,1.003646578999989991e+00,-7.702812168001860194e-01,1.003646578999989991e+00,-7.702812168001860194e-01
2.431375343569999927e+02,1.001921803000020095e+00,-7.708181488000039883e-01,1.001921803000020095e+00,-7.708181488000039883e-01
2.451413779629999965e+02,9.979849719999980273e-01,-7.635638297999780555e-01,9.979849719999980273e-01,-7.635638297999780555e-01
2.471373479069999917e+02,9.916829039999870421e-01,-7.587516547998800487e-01,9.916829039999870421e-01,-7.587516547998800487e-01
2.491207137149999937e+02,1.003620077999999971e+00,-7.436943397998450056e-01,1.003620077999999971e+00,-7.436943397998450056e-01
2.511279538709999883e+02,1.000325372999999907e+00,-7.432964077999030250e-01,1.000325372999999907e+00,-7.432964077999030250e-01
2.531286046170000077e+02,1.009624006000009899e+00,-7.502895727999430164e-01,1.009624006000009899e+00,-7.502895727999430164e-01
2.551478526289999991e+02,9.955478109999940095e-01,-7.672317478000539870e-01,9.955478109999940095e-01,-7.672317478000539870e-01
2.571389482509999880e+02,9.911972900000020070e-01,-7.647577517998910279e-01,9.911972900000020070e-01,-7.647577517998910279e-01
2.591213428309999927e+02,9.936363380000160506e-01,-7.677780027998439838e-01,9.936363380000160506e-01,-7.677780027998439838e-01
2.611086155070000245e+02,1.002435783999999996e+00,-7.685200507999639941e-01,1.002435783999999996e+00,-7.685200507999639941e-01
2.631134870750000232e+02,1.000767894999970098e+00,-7.792681077999650263e-01,1.000767894999970098e+00,-7.792681077999650263e-01
2.651150228650000145e+02,9.998271850000149952e-01,-7.842181218001089693e-01,9.998271850000149952e-01,-7.842181218001089693e-01
2.671146772349999878e+02,9.998557950000299677e-01,-7.913000378001699975e-01,9.998557950000299677e-01,-7.913000378001699975e-01
2.691143888249999918e+02,9.948353149999600298e-01,-7.993838497999949944e-01,9.948353149999600298e-01,-7.993838497999949944e-01
2.711040594550000264e+02,9.961606610000049988e-01,-8.070357558000860188e-01,9.961606610000049988e-01,-8.070357558000860188e-01
2.730963807769999789e+02,9.977879210000539789e-01,-8.084876487998260419e-01,9.977879210000539789e-01,-8.084876487998260419e-01
2.750919566189999728e+02,1.010165951999989931e+00,-7.967645138002129590e-01,1.010165951999989931e+00,-7.967645138002129590e-01
2.771122885230000179e+02,9.928641799999700090e-01,-7.976046908001419578e-01,9.928641799999700090e-01,-7.976046908001419578e-01
2.790980168830000139e+02,1.000708676999980007e+00,-8.063912328000240048e-01,1.000708676999980007e+00,-8.063912328000240048e-01
2.810994342370000254e+02,9.916382580000520086e-01,-8.092739508002749771e-01,9.916382580000520086e-01,-8.092739508002749771e-01
2.830827107530000148e+02,9.986388949999710496e-01,-8.102016588002810549e-01,9.986388949999710496e-01,-8.102016588002810549e-01
2.850799885430000131e+02,9.968289549999840293e-01,-8.283025557998370259e-01,9.968289549999840293e-01,-8.283025557998370259e-01
2.870736464529999807e+02,1.003890828999999929e+00,-8.356276817999630513e-01,1.003890828999999929e+00,-8.356276817999630513e-01
2.890814281109999797e+02,9.967446790000450418e-01,-8.271716948001990311e-01,9.967446790000450418e-01,-8.271716948001990311e-01
2.910749174690000132e+02,1.000751192999989936e+00,-8.315405248001179750e-01,1.000751192999989936e+00,-8.315405248001179750e-01
2.930764198549999833e+02,9.960761629999690392e-01,-8.534562898000790376e-01,9.960761629999690392e-01,-8.534562898000790376e-01
2.950685721809999791e+02,1.001295692000010007e+00,-8.519448308001069670e-01,1.001295692000010007e+00,-8.519448308001069670e-01
2.970711635650000062e+02,1.003876125000009889e+00,-8.578397418000349717e-01,1.003876125000009889e+00,-8.578397418000349717e-01
2.990789158150000162e+02,1.001265305999990085e+00,-8.664130098001120439e-01,1.001265305999990085e+00,-8.664130098001120439e-01
3.010814464270000030e+02,9.958469500000149965e-01,-8.712495768002670449e-01,9.958469500000149965e-01,-8.712495768002670449e-01
3.030731403269999760e+02,1.002392379999970107e+00,-8.617123658000309661e-01,1.002392379999970107e+00,-8.617123658000309661e-01
3.050779250869999828e+02,9.896697869999969699e-01,-8.533991517998059662e-01,9.896697869999969699e-01,-8.533991517998059662e-01
3.070572646609999765e+02,1.003818128000030008e+00,-8.555461678000709780e-01,1.003818128000030008e+00,-8.555461678000709780e-01
3.090649009169999886e+02,9.994548109999640273e-01,-8.620909478000839954e-01,9.994548109999640273e-01,-8.620909478000839954e-01
3.110638105389999737e+02,1.004073620000009992e+00,-8.561341037998320136e-01,1.004073620000009992e+00,-8.561341037998320136e-01
3.130719577790000017e+02,9.958029699999999540e-01,-8.716324438000240260e-01,9.958029699999999540e-01,-8.716324438000240260e-01
3.150635637190000011e+02,1.001010258000009978e+00,-8.781014237998759908e-01,1.001010258000009978e+00,-8.781014237998759908e-01
3.170655842350000171e+02,1.004675449999979930e+00,-8.739985427999950041e-01,1.004675449999979930e+00,-8.739985427999950041e-01
3.190749351349999756e+02,9.963889859999990328e-01,-8.754833488000030028e-01,9.963889859999990328e-01,-8.754833488000030028e-01
3.210677131069999746e+02,9.998545740000109872e-01,-8.849327698000589715e-01,9.998545740000109872e-01,-8.849327698000589715e-01
3.230674222549999968e+02,9.967894360000290055e-01,-8.929777737998849663e-01,9.967894360000290055e-01,-8.929777737998849663e-01
