width_LLS_B,Weights
6.307000000000000384e+00,9.967691511554660488e-01
6.346000000000000085e+00,1.001950893911240037e+00
6.320999999999999730e+00,9.956876491132879980e-01
6.333999999999999631e+00,1.003329978698560110e+00
6.346000000000000085e+00,9.994570616254689899e-01
6.333999999999999631e+00,9.965933396352040230e-01
6.360999999999999766e+00,1.002998347466210083e+00
6.386999999999999567e+00,1.005100863312389903e+00
6.338000000000000078e+00,9.942430560280479668e-01
6.274000000000000021e+00,9.864932536070090130e-01
6.275000000000000355e+00,9.962134523210739445e-01
6.325000000000000178e+00,1.001560598695790061e+00
6.312999999999999723e+00,1.003099959826140086e+00
6.326999999999999957e+00,9.965417856374120253e-01
6.312000000000000277e+00,1.005256047418189969e+00
6.275000000000000355e+00,1.003280523228559984e+00
6.264000000000000234e+00,9.991125220394949658e-01
6.251000000000000334e+00,1.000427945137970065e+00
6.238000000000000433e+00,9.844078220775660526e-01
6.238000000000000433e+00,9.584336029165989590e-01
6.200000000000000178e+00,9.176312749873439811e-01
6.189000000000000057e+00,8.803019881239889655e-01
6.161999999999999922e+00,8.295182132598409863e-01
6.176000000000000156e+00,7.753528085917319457e-01
6.229000000000000092e+00,7.137597395143500112e-01
6.230000000000000426e+00,6.641294029959690093e-01
6.201999999999999957e+00,6.044151046149599527e-01
6.251000000000000334e+00,5.309516965404470490e-01
6.237000000000000099e+00,4.643731806598250245e-01
6.235999999999999766e+00,3.720689579535300107e-01
6.248000000000000220e+00,2.483030733195880080e-01
6.225999999999999979e+00,1.441400115764039924e-01
6.240000000000000213e+00,1.106504097201430059e-01
6.240999999999999659e+00,1.107452671303870012e-01
6.251000000000000334e+00,6.939084320797450633e-02
6.238999999999999879e+00,2.385662853230299980e-03
6.238000000000000433e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.238999999999999879e+00,0.000000000000000000e+00
6.238999999999999879e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.240999999999999659e+00,0.000000000000000000e+00
6.240999999999999659e+00,0.000000000000000000e+00
6.251999999999999780e+00,0.000000000000000000e+00
6.251999999999999780e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.227999999999999758e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.227000000000000313e+00,0.000000000000000000e+00
6.253000000000000114e+00,0.000000000000000000e+00
6.238999999999999879e+00,0.000000000000000000e+00
6.238999999999999879e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.240999999999999659e+00,0.000000000000000000e+00
6.238999999999999879e+00,0.000000000000000000e+00
6.253000000000000114e+00,0.000000000000000000e+00
6.238999999999999879e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.237000000000000099e+00,0.000000000000000000e+00
6.251999999999999780e+00,0.000000000000000000e+00
6.251999999999999780e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.238999999999999879e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.235999999999999766e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.240000000000000213e+00,0.000000000000000000e+00
6.253000000000000114e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.237000000000000099e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.238999999999999879e+00,0.000000000000000000e+00
6.238999999999999879e+00,0.000000000000000000e+00
6.253999999999999559e+00,0.000000000000000000e+00
6.251000000000000334e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.251999999999999780e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.238999999999999879e+00,0.000000000000000000e+00
6.238000000000000433e+00,0.000000000000000000e+00
6.233999999999999986e+00,0.000000000000000000e+00
6.235999999999999766e+00,0.000000000000000000e+00
6.237000000000000099e+00,0.000000000000000000e+00
6.222000000000000419e+00,6.106109358805630188e-02
6.248999999999999666e+00,7.413953608576910603e-02
6.237000000000000099e+00,7.828773457602160313e-02
6.248000000000000220e+00,1.112869761704240040e-01
6.251999999999999780e+00,1.366226244912399912e-01
6.251999999999999780e+00,1.610764864997629997e-01
6.251999999999999780e+00,1.880314157893679949e-01
6.248999999999999666e+00,2.152907992260590098e-01
6.286999999999999922e+00,2.754743114758689826e-01
6.288000000000000256e+00,3.119066128424979878e-01
6.302999999999999936e+00,3.391172272750480055e-01
6.317000000000000171e+00,3.812593217874239993e-01
6.280999999999999694e+00,4.480883637841269751e-01
6.205000000000000071e+00,5.089061245194800298e-01
6.203999999999999737e+00,5.558939295802259872e-01
