Simulation,Gap_%,Overlap_%,Total_layout_area_mm2,Gap_area_mm2,Overlap_area_mm2
24,2.8780887417090106,1.5394985899270643,184389.5067869338,5306.893635727514,2838.6738569583144
25,2.534605559105296,1.322059754840291,184052.3365655468,4665.000754253539,2433.2818695762953
26,2.546397582970702,1.4179060981501093,183897.34907137282,4682.7576519006325,2607.4917268193885
27,2.434173770671875,1.221181771584248,184071.96282201895,4480.6314381744705,2247.853256579829
28,2.8587134436327144,1.5289322866895054,184191.77523849468,5265.5150408086,2816.167521047911
29,2.638149471429729,1.510760196512243,183955.04805612168,4853.009127960878,2779.119645506855
30,2.6547349877495527,1.4285819884688418,184144.61621999647,4888.551554849385,2630.656820053943
31,2.437547612868159,1.3535761795604153,183861.3059847062,4481.706875018427,2488.7028412376717
32,2.618575536753156,1.3853484090741401,184164.9654235965,4822.498731852206,2551.3264185677344
33,2.674356911082509,1.44933951810639,184096.38221314526,4923.394320770121,2668.1816188192975
34,2.5125362336475465,1.374766842237592,184051.42215722357,4624.358670243851,2530.2779244842422
35,2.714053782324359,1.4388939037013857,184307.2406565675,5002.197636137229,2651.985649887592
36,2.6650312205298934,1.4488736444918304,184141.68503745657,4907.433396258041,2667.9803430308643
37,2.442449660755845,1.2943872012688893,184083.37138376187,4496.143679870614,2382.7515988556906
38,2.5256444903622564,1.40585435075599,183966.43080528107,4646.338023749674,2586.3000714065515
39,2.4781334850957673,1.3413312051308945,183929.71482854665,4558.02385220737,2467.1066605035626
40,2.4945335431140307,1.400038898078408,183923.47662703204,4588.032818122809,2575.0002154765975
41,2.653962348319391,1.4608898786344608,184175.58560840244,4887.950696843748,2690.602489068898
42,2.7392738680175546,1.5837258787948623,183997.63919969246,5040.1992483664,2914.0182283771296
43,2.710735502605171,1.4160917543595064,184217.89099635454,4993.659773388677,2608.6943644543603
44,2.355306361589121,1.2701831852452086,183854.81162287993,4330.344074241386,2335.292902498074
45,2.59872503306259,1.4465745821565028,184016.80586638226,4782.090799091864,2661.940340559362
46,2.557684392216175,1.3044085678488846,184215.65574754117,4711.6550750735405,2402.924796889933
47,2.6094637023130565,1.4203230406105207,184024.60888470206,4802.055372169868,2613.7439203828185
48,2.603279215949159,1.2929711021029395,184147.05127491514,4793.861912623107,2380.9681583593356
49,2.5913017951529196,1.2961169568689426,184323.27078180492,4776.372224653488,2389.0451680584306
50,2.4330410800507165,1.4819425977786145,183512.37659470824,4464.931509526628,2719.548080952893
51,2.5839871167681214,1.300129846505406,184188.06122277147,4759.395772621395,2394.6839576569023
52,2.5563018208367994,1.348199266669704,184243.57794430546,4709.8219377651485,2483.970566731151
53,2.622836979979779,1.5739876843310305,183842.66333658685,4821.893358971727,2893.660879464036
54,2.550763738129784,1.3751647825543345,183998.93249947834,4693.378048742591,2530.288520008748
