X_mm,Weights,Y_normalised,Weights
4.199420999230000007e+02,1.004232484000030068e+00,-9.000618058001920163e-01,1.004232484000030068e+00
4.219505648909999991e+02,9.939930300000410224e-01,-9.035756508001210330e-01,9.939930300000410224e-01
4.239385509510000247e+02,9.990990069999550194e-01,-8.992688597999749511e-01,9.990990069999550194e-01
4.259367489649999925e+02,1.008253923999999913e+00,-8.983890787998229932e-01,1.008253923999999913e+00
4.279532568129999959e+02,1.004117600000030031e+00,-9.024276597999689731e-01,1.004117600000030031e+00
4.299614920129999973e+02,1.002607575999999945e+00,-9.019198088000169866e-01,1.002607575999999945e+00
4.319667071650000025e+02,1.005416111999980044e+00,-8.835976678000749818e-01,1.005416111999980044e+00
4.339775393890000146e+02,9.983262940000090513e-01,-8.759443557999589958e-01,9.983262940000090513e-01
4.359741919769999754e+02,1.003760908000030039e+00,-8.830914288000709655e-01,1.003760908000030039e+00
4.379817137929999831e+02,9.992558729999250211e-01,-8.876324168002159842e-01,9.992558729999250211e-01
4.399802255390000028e+02,1.003006340000009988e+00,-8.747046367998909666e-01,1.003006340000009988e+00
4.419862382189999721e+02,1.004447458000039983e+00,-8.703525918000419859e-01,1.004447458000039983e+00
4.439951331350000032e+02,1.007313657999959977e+00,-8.638504538001829935e-01,1.007313657999959977e+00
4.460097604509999769e+02,1.004148207999999931e+00,-8.700350487998209648e-01,1.004148207999999931e+00
4.480180568669999843e+02,9.968462120000369797e-01,-8.705925978001120003e-01,9.968462120000369797e-01
4.500117492910000010e+02,9.977142209999669831e-01,-8.609696127999200144e-01,9.977142209999669831e-01
4.520071777329999918e+02,9.986844290000079782e-01,-8.642154928000990166e-01,9.986844290000079782e-01
4.540045465910000075e+02,1.000709898000029963e+00,-8.663595908000729651e-01,1.000709898000029963e+00
4.560059663870000009e+02,1.002150460999990056e+00,-8.692811168002090305e-01,1.002150460999990056e+00
4.580102673090000280e+02,1.004946201000000094e+00,-8.700349098000399461e-01,1.004946201000000094e+00
4.600201597110000193e+02,9.924940260000310044e-01,-8.634616608002260163e-01,9.924940260000310044e-01
4.620051477630000250e+02,9.968170469999789729e-01,-8.592800028001760237e-01,9.968170469999789729e-01
4.639987818569999831e+02,9.984575469999870112e-01,-8.486374818001539699e-01,9.984575469999870112e-01
