TimeStamp,Id,X_mm_,Y_mm_,Z_mm_,Y_normalised,Velocity,Weights,TapeEdgeLeft_b,TapeEdgeRight_b,TapeWidth,TapeCenterLine,Var1_c,Var2_c,Var3_c,Var4_c,Var5_c,Var6_c,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1,Var1_d,Var2_d,Var3_d,Var4_d,Var5_d,Var6_d,TapeEdgeLeft_d,TapeEdgeRight_d,TapeWidthAfterCompaction,TapeWidthAfterCompaction_Rotated
3.900000000000000133e-01,nan,3.054354083576589929e+01,nan,nan,nan,nan,8.236365107003830177e-01,3.488801399999999830e+00,-2.676340800000000186e+00,6.165142200000000017e+00,4.062302999999999886e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.980000000000000204e-01,8.450000000000000000e+02,3.179138912499999847e+01,2.490925700072000097e+02,-5.784049080000940035e-02,-9.074299928002460547e-01,1.669817597999960128e+02,8.349087989999810500e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.060000000000000275e-01,nan,3.323444985591660128e+01,nan,nan,nan,nan,8.531375206360870544e-01,3.472870799999999925e+00,-2.724132599999999904e+00,6.197003399999999829e+00,3.743691000000000102e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.079999999999999738e-01,8.460000000000000000e+02,3.346120672299999654e+01,2.490907562282000072e+02,-5.446260679996760279e-02,-9.092437718000210278e-01,1.712003820000030032e+02,8.560019100000140213e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.179999999999999827e-01,8.470000000000000000e+02,3.517321054300000327e+01,2.491044180542000106e+02,-3.812985280000540100e-02,-8.955819457998469568e-01,1.785311961999989876e+02,8.926559809999969897e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.219999999999999862e-01,nan,3.604641128809080186e+01,nan,nan,nan,nan,8.948315275180600548e-01,3.456940200000000019e+00,-2.771924400000000066e+00,6.228864599999999641e+00,3.425078999999999763e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.279999999999999916e-01,8.480000000000000000e+02,3.695852250499999769e+01,2.491323061822000113e+02,-1.483093679998060029e-02,-8.676938177998749779e-01,1.794208035999980098e+02,8.971040179999899555e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.380000000000000004e-01,8.490000000000000000e+02,3.875273054099999825e+01,2.491447222781999926e+02,2.152462920002130159e-02,-8.552777218000360282e-01,1.786848022000000071e+02,8.934240110000000179e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.390000000000000013e-01,nan,3.895661456879999918e+01,nan,nan,nan,nan,8.944998209799499556e-01,3.456940200000000019e+00,-2.803785599999999878e+00,6.260725800000000341e+00,3.265773000000000148e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.480000000000000093e-01,8.500000000000000000e+02,4.053957856299999918e+01,2.491457003342000007e+02,5.791891220002300111e-02,-8.542996658001700272e-01,1.805704907999979980e+02,9.028524539999910337e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
