x,Weights,y,Weights
4.321750281810000160e+02,9.929653800000439734e-01,-9.001321557999519829e-01,9.929653800000439734e-01
4.341609589409999899e+02,9.935501749999670063e-01,-8.949162988001260199e-01,9.935501749999670063e-01
4.361480592909999814e+02,1.000453740000039948e+00,-8.926420747999940231e-01,1.000453740000039948e+00
4.381489667710000049e+02,1.001708382999960012e+00,-8.865888728002460084e-01,1.001708382999960012e+00
4.401523835369999915e+02,9.991119140000249699e-01,-8.893999287999460046e-01,9.991119140000249699e-01
4.421506073649999848e+02,9.938924960000009579e-01,-9.065195468002680279e-01,9.938924960000009579e-01
4.441383923569999865e+02,9.974294529999949699e-01,-9.162363227998180371e-01,9.974294529999949699e-01
4.461332512629999769e+02,9.949614619999640475e-01,-9.095055787998379548e-01,9.949614619999640475e-01
4.481231741870000178e+02,1.000951706000049901e+00,-9.040405578000449971e-01,1.000951706000049901e+00
4.501250775990000079e+02,1.001722864999980089e+00,-8.978915488001459888e-01,1.001722864999980089e+00
4.521285233290000178e+02,9.949902940000190377e-01,-8.836662938001039747e-01,9.949902940000190377e-01
4.541185039169999982e+02,9.924507119999930183e-01,-8.792102247999760145e-01,9.924507119999930183e-01
4.561034053409999842e+02,9.954460559999920299e-01,-8.910559258000030347e-01,9.954460559999920299e-01
4.580942974530000242e+02,1.003063781999999904e+00,-9.025666888000499766e-01,1.003063781999999904e+00
4.601004250170000205e+02,1.002365656999979926e+00,-9.002254918000860417e-01,1.002365656999979926e+00
4.621051563309999892e+02,1.000880003999979895e+00,-8.909703578000860436e-01,1.000880003999979895e+00
4.641069163390000085e+02,9.938628870000340010e-01,-8.998538678001749558e-01,9.938628870000340010e-01
4.660946421130000203e+02,9.994554769999699495e-01,-9.085369957999770429e-01,9.994554769999699495e-01
4.680935530670000162e+02,9.963582670000330488e-01,-9.026013198001689997e-01,9.963582670000330488e-01
4.700862696010000263e+02,9.948040409999809874e-01,-9.109818127999459447e-01,9.948040409999809874e-01
4.720758776829999874e+02,9.967027179999949915e-01,-9.175471507999189980e-01,9.967027179999949915e-01
4.740692831189999765e+02,9.995970839999870350e-01,-9.029005738000820402e-01,9.995970839999870350e-01
4.760684772870000074e+02,1.008867884000010040e+00,-9.019285137998740431e-01,1.008867884000010040e+00
4.780862130549999733e+02,1.009310516999990082e+00,-9.099282637998840073e-01,1.009310516999990082e+00
4.801048340890000077e+02,1.007086332000000084e+00,-9.158883908000350349e-01,1.007086332000000084e+00
4.821190067530000078e+02,9.958764480000179553e-01,-9.141072097998520496e-01,9.958764480000179553e-01
4.841107596489999878e+02,1.000125547000010107e+00,-9.056001187998959923e-01,1.000125547000010107e+00
4.861110107430000085e+02,1.001237140000029946e+00,-9.055941237999149962e-01,1.001237140000029946e+00
4.881134850230000097e+02,1.006971670000009977e+00,-9.094429067998820448e-01,1.006971670000009977e+00
4.901274283629999786e+02,1.001066811999949957e+00,-9.036470858002300099e-01,1.001066811999949957e+00
4.921295619869999882e+02,1.003461324999959992e+00,-9.015268287998879915e-01,1.003461324999959992e+00
4.941364846370000237e+02,1.000482239000090035e+00,-9.131169198000179676e-01,1.000482239000090035e+00
4.961374491149999812e+02,9.951037349999870552e-01,-9.080620857999970319e-01,9.951037349999870552e-01
4.981276565850000111e+02,9.915971849999609677e-01,-9.075818488002479478e-01,9.915971849999609677e-01
5.001108509549999894e+02,1.001695365000019988e+00,-8.895223738000479496e-01,1.001695365000019988e+00
5.021142416850000245e+02,9.994112749999719547e-01,-8.743305028002059665e-01,9.994112749999719547e-01
5.041130642350000244e+02,1.001237917000030064e+00,-8.843939618000149494e-01,1.001237917000030064e+00
5.061155400690000192e+02,1.003449972000030055e+00,-8.882674407999500144e-01,1.003449972000030055e+00
5.081224400130000163e+02,1.002492226999950109e+00,-8.819075248001130296e-01,1.002492226999950109e+00
5.101274244670000257e+02,9.962453810000510002e-01,-8.946346778000130451e-01,9.962453810000510002e-01
5.121199152289999574e+02,1.000168749999940099e+00,-8.990569788000469797e-01,1.000168749999940099e+00
5.141202527289999580e+02,1.003719613000040090e+00,-8.830200968000100348e-01,1.003719613000040090e+00
