x_LE,y_LE,x_RE,y_RE
9.362196877422211683e-02,4.093149999999999977e+02,9.285010401839484395e-02,4.155760000000000218e+02
9.412025246373600940e-02,4.093039999999999736e+02,9.328807620716085547e-02,4.155880000000000223e+02
9.461853615324991584e-02,4.092909999999999968e+02,9.383554144311836986e-02,4.155749999999999886e+02
9.506145498837337282e-02,4.093159999999999741e+02,9.427351363188438138e-02,4.155620000000000118e+02
9.561510353227770098e-02,4.093299999999999841e+02,9.476623234424615128e-02,4.155389999999999873e+02
9.605802236740117184e-02,4.093039999999999736e+02,9.520420453301216279e-02,4.155769999999999982e+02
9.655630605691506441e-02,4.093050000000000068e+02,9.569692324537393269e-02,4.156030000000000086e+02
9.699922489203852138e-02,4.093159999999999741e+02,9.618964195773568870e-02,4.155649999999999977e+02
9.749750858155241395e-02,4.093039999999999736e+02,9.668236067009745860e-02,4.155769999999999982e+02
9.799579227106632040e-02,4.092649999999999864e+02,9.712033285886347012e-02,4.156030000000000086e+02
9.849407596058021297e-02,4.092139999999999986e+02,9.761305157122522613e-02,4.156270000000000095e+02
9.893699479570366995e-02,4.092029999999999745e+02,9.810577028358700991e-02,4.156399999999999864e+02
9.943527848521757639e-02,4.091890000000000214e+02,9.854374247235302142e-02,4.156030000000000086e+02
9.993356217473146896e-02,4.091770000000000209e+02,9.903646118471477744e-02,4.156009999999999991e+02
1.003764810098549259e-01,4.092019999999999982e+02,9.952917989707654733e-02,4.156259999999999764e+02
1.008747646993688324e-01,4.092149999999999750e+02,9.996715208584255885e-02,4.156240000000000236e+02
1.013730483888827250e-01,4.092280000000000086e+02,1.004598707982043287e-01,4.155869999999999891e+02
1.018159672240061958e-01,4.092400000000000091e+02,1.009525895105660986e-01,4.155110000000000241e+02
1.023142509135200884e-01,4.092660000000000196e+02,1.014453082229278547e-01,4.154970000000000141e+02
1.028125346030339810e-01,4.092789999999999964e+02,1.018832804116938662e-01,4.155230000000000246e+02
1.033108182925478874e-01,4.093050000000000068e+02,1.023759991240556361e-01,4.155230000000000246e+02
1.037537371276713444e-01,4.092669999999999959e+02,1.028139713128216337e-01,4.155240000000000009e+02
1.042520208171852369e-01,4.092540000000000191e+02,1.033066900251834175e-01,4.155369999999999777e+02
1.047503045066991295e-01,4.092789999999999964e+02,1.037994087375451735e-01,4.155500000000000114e+02
1.052485881962130360e-01,4.092900000000000205e+02,1.042921274499069434e-01,4.156019999999999754e+02
1.056915070313364929e-01,4.092900000000000205e+02,1.047300996386729549e-01,4.156259999999999764e+02
1.061344258664599638e-01,4.092780000000000200e+02,1.052228183510347109e-01,4.156250000000000000e+02
1.066327095559738564e-01,4.092520000000000095e+02,1.057155370633964947e-01,4.156139999999999759e+02
1.071309932454877628e-01,4.092520000000000095e+02,1.061535092521625062e-01,4.156229999999999905e+02
1.076292769350016415e-01,4.092400000000000091e+02,1.066462279645242622e-01,4.156349999999999909e+02
1.080721957701251124e-01,4.092130000000000223e+02,1.070842001532902737e-01,4.156360000000000241e+02
1.087919388772007473e-01,4.092139999999999986e+02,1.076316653892477881e-01,4.156349999999999909e+02
1.092902225667146399e-01,4.092280000000000086e+02,1.080696375780137997e-01,4.156600000000000250e+02
1.097885062562285463e-01,4.092389999999999759e+02,1.085623562903755834e-01,4.156469999999999914e+02
1.102867899457424250e-01,4.092649999999999864e+02,1.090550750027373395e-01,4.156100000000000136e+02
1.107297087808658959e-01,4.093039999999999736e+02,1.095477937150990955e-01,4.155989999999999895e+02
