x_LE,y_LE,x_RE,y_RE
1.060352731783614638e-01,3.218969999999999914e+02,1.094943413056809894e-01,3.281139999999999759e+02
1.064667493662693476e-01,3.218700000000000045e+02,1.099960974521937834e-01,3.281270000000000095e+02
1.070060946011542058e-01,3.218709999999999809e+02,1.104978535987065774e-01,3.280989999999999895e+02
1.074375707890620757e-01,3.218829999999999814e+02,1.109996097452193714e-01,3.280860000000000127e+02
1.079229815004584397e-01,3.218949999999999818e+02,1.115013658917321654e-01,3.280729999999999791e+02
1.084083922118548038e-01,3.219200000000000159e+02,1.119473713552990995e-01,3.280720000000000027e+02
1.088398683997626737e-01,3.219200000000000159e+02,1.124491275018118797e-01,3.280579999999999927e+02
1.093252791111590655e-01,3.219080000000000155e+02,1.128951329653788138e-01,3.280570000000000164e+02
1.097567552990669354e-01,3.218960000000000150e+02,1.134526397948374815e-01,3.280559999999999832e+02
1.104579041044172344e-01,3.218829999999999814e+02,1.138986452584044157e-01,3.280679999999999836e+02
1.109433148158135984e-01,3.218450000000000273e+02,1.144004014049172097e-01,3.280840000000000032e+02
1.114287255272099625e-01,3.218210000000000264e+02,1.149021575514299898e-01,3.280969999999999800e+02
1.120759398090717812e-01,3.218210000000000264e+02,1.153481630149969239e-01,3.280840000000000032e+02
1.126152850439566394e-01,3.218600000000000136e+02,1.160729218932931711e-01,3.280620000000000118e+02
1.130467612318645232e-01,3.218210000000000264e+02,1.165746780398059929e-01,3.280600000000000023e+02
1.135321719432608872e-01,3.218589999999999804e+02,1.170764341863187730e-01,3.280480000000000018e+02
1.139636481311687571e-01,3.218840000000000146e+02,1.175224396498857071e-01,3.280350000000000250e+02
1.145029933660536292e-01,3.218709999999999809e+02,1.179684451134526413e-01,3.280219999999999914e+02
1.149344695539614852e-01,3.218840000000000146e+02,1.184702012599654214e-01,3.280350000000000250e+02
1.153659457418693551e-01,3.218450000000000273e+02,1.190277080894240752e-01,3.280310000000000059e+02
1.158513564532657469e-01,3.218079999999999927e+02,1.194737135529910094e-01,3.280350000000000250e+02
1.163367671646620971e-01,3.218199999999999932e+02,1.199754696995038172e-01,3.280590000000000259e+02
1.168221778760584612e-01,3.218199999999999932e+02,1.204214751630707514e-01,3.280579999999999927e+02
1.174693921579202799e-01,3.217950000000000159e+02,1.209789819925293913e-01,3.280579999999999927e+02
1.180087373928051381e-01,3.217839999999999918e+02,1.214249874560963255e-01,3.280470000000000255e+02
1.184402135807130219e-01,3.217839999999999918e+02,1.219267436026091195e-01,3.280219999999999914e+02
1.189256242921093859e-01,3.217830000000000155e+02,1.223727490661760398e-01,3.280480000000000018e+02
1.194110350035057500e-01,3.217710000000000150e+02,1.228745052126888615e-01,3.280729999999999791e+02
1.198425111914136199e-01,3.217579999999999814e+02,1.233762613592016416e-01,3.280729999999999791e+02
1.203279219028099839e-01,3.217710000000000150e+02,1.238222668227685758e-01,3.280749999999999886e+02
1.208133326142063618e-01,3.217699999999999818e+02,1.243240229692813698e-01,3.280740000000000123e+02
1.212987433256027259e-01,3.217839999999999918e+02,1.248257791157941499e-01,3.280389999999999873e+02
1.217302195135106097e-01,3.217839999999999918e+02,1.253275352623069716e-01,3.280249999999999773e+02
