TapeWidthAfterCompaction,Weights
6.280999999999999694e+00,0.000000000000000000e+00
6.293999999999999595e+00,0.000000000000000000e+00
6.294999999999999929e+00,0.000000000000000000e+00
6.294999999999999929e+00,0.000000000000000000e+00
6.283000000000000362e+00,0.000000000000000000e+00
6.296999999999999709e+00,0.000000000000000000e+00
6.296999999999999709e+00,0.000000000000000000e+00
6.294999999999999929e+00,0.000000000000000000e+00
6.283000000000000362e+00,0.000000000000000000e+00
6.282000000000000028e+00,0.000000000000000000e+00
6.294999999999999929e+00,0.000000000000000000e+00
6.293999999999999595e+00,0.000000000000000000e+00
6.296999999999999709e+00,0.000000000000000000e+00
6.296999999999999709e+00,0.000000000000000000e+00
6.296000000000000263e+00,0.000000000000000000e+00
6.293999999999999595e+00,0.000000000000000000e+00
6.283000000000000362e+00,0.000000000000000000e+00
6.280000000000000249e+00,0.000000000000000000e+00
6.307999999999999829e+00,0.000000000000000000e+00
6.296000000000000263e+00,0.000000000000000000e+00
6.296000000000000263e+00,0.000000000000000000e+00
6.307999999999999829e+00,0.000000000000000000e+00
6.294999999999999929e+00,0.000000000000000000e+00
6.307000000000000384e+00,0.000000000000000000e+00
6.282000000000000028e+00,0.000000000000000000e+00
6.294999999999999929e+00,0.000000000000000000e+00
6.296000000000000263e+00,0.000000000000000000e+00
6.309000000000000163e+00,0.000000000000000000e+00
6.296000000000000263e+00,0.000000000000000000e+00
6.296000000000000263e+00,0.000000000000000000e+00
6.296000000000000263e+00,0.000000000000000000e+00
6.280000000000000249e+00,0.000000000000000000e+00
6.293999999999999595e+00,0.000000000000000000e+00
6.280999999999999694e+00,0.000000000000000000e+00
6.280999999999999694e+00,0.000000000000000000e+00
6.282000000000000028e+00,0.000000000000000000e+00
6.296000000000000263e+00,0.000000000000000000e+00
6.280999999999999694e+00,0.000000000000000000e+00
6.280999999999999694e+00,0.000000000000000000e+00
6.267000000000000348e+00,0.000000000000000000e+00
6.266000000000000014e+00,0.000000000000000000e+00
6.282000000000000028e+00,0.000000000000000000e+00
6.278999999999999915e+00,5.255800284077329770e-02
6.253999999999999559e+00,7.003895695535139465e-02
6.243000000000000327e+00,8.663013404386660232e-02
6.258000000000000007e+00,1.179736067326190019e-01
6.269000000000000128e+00,1.403075018656479989e-01
6.283000000000000362e+00,1.730214691279640116e-01
6.266000000000000014e+00,2.002661438990299969e-01
6.243000000000000327e+00,2.375934145684659993e-01
6.256999999999999673e+00,2.878549395329860205e-01
6.233999999999999986e+00,3.258962035925370149e-01
6.285999999999999588e+00,3.721875551019500072e-01
6.275000000000000355e+00,4.223676872113449887e-01
