time,leftedge,rightedge,gap,x_LE,y_LE,time,leftedge,rightedge,gap,x_RE,y_RE
6.260000000000000009e-01,3.399000000000000021e+00,9.439999999999999503e+00,6.041000000000000369e+00,3.489992752411216759e-02,3.341009999999999991e+02,6.290000000000000036e-01,3.298000000000000043e+00,9.490999999999999659e+00,6.192999999999999616e+00,3.472452246880865234e-02,3.405090000000000146e+02
6.340000000000000080e-01,3.399000000000000021e+00,9.439999999999999503e+00,6.041000000000000369e+00,3.534593298767909481e-02,3.341009999999999991e+02,6.380000000000000115e-01,3.286000000000000032e+00,9.480999999999999872e+00,6.195000000000000284e+00,3.522137573147841177e-02,3.405190000000000055e+02
6.430000000000000160e-01,3.411999999999999922e+00,9.449999999999999289e+00,6.038000000000000256e+00,3.584768913419188879e-02,3.340880000000000223e+02,6.470000000000000195e-01,3.298999999999999932e+00,9.506000000000000227e+00,6.206999999999999851e+00,3.571822899414817121e-02,3.404940000000000282e+02
6.520000000000000240e-01,3.398000000000000131e+00,9.435999999999999943e+00,6.038000000000000256e+00,3.634944528070468972e-02,3.341019999999999754e+02,6.560000000000000275e-01,3.298999999999999932e+00,9.505000000000000782e+00,6.206000000000000405e+00,3.621508225681793064e-02,3.404950000000000045e+02
6.600000000000000311e-01,3.361000000000000210e+00,9.398999999999999133e+00,6.038000000000000256e+00,3.679545074427161694e-02,3.341390000000000100e+02,6.640000000000000346e-01,3.298000000000000043e+00,9.503999999999999559e+00,6.206000000000000405e+00,3.665672960141327236e-02,3.404959999999999809e+02
6.690000000000000391e-01,3.347999999999999865e+00,9.397999999999999687e+00,6.049999999999999822e+00,3.729720689078441093e-02,3.341519999999999868e+02,6.730000000000000426e-01,3.362000000000000099e+00,9.567000000000000171e+00,6.205000000000000071e+00,3.715358286408303179e-02,3.404329999999999927e+02
6.770000000000000462e-01,3.322000000000000064e+00,9.371999999999999886e+00,6.049999999999999822e+00,3.774321235435133814e-02,3.341779999999999973e+02,6.820000000000000506e-01,3.335999999999999854e+00,9.564999999999999503e+00,6.229000000000000092e+00,3.765043612675279122e-02,3.404350000000000023e+02
6.860000000000000542e-01,3.310000000000000053e+00,9.371999999999999886e+00,6.062000000000000277e+00,3.824496850086413907e-02,3.341899999999999977e+02,6.909999999999999476e-01,3.311999999999999833e+00,9.513999999999999346e+00,6.201999999999999957e+00,3.814728938942254372e-02,3.404859999999999900e+02
6.949999999999999512e-01,3.310000000000000053e+00,9.384000000000000341e+00,6.073999999999999844e+00,3.874672464737692612e-02,3.341899999999999977e+02,6.989999999999999547e-01,3.311999999999999833e+00,9.525999999999999801e+00,6.214000000000000412e+00,3.858893673401788543e-02,3.404739999999999895e+02
7.039999999999999591e-01,3.310000000000000053e+00,9.384999999999999787e+00,6.075000000000000178e+00,3.924848079388972011e-02,3.341899999999999977e+02,7.079999999999999627e-01,3.311999999999999833e+00,9.526999999999999247e+00,6.214999999999999858e+00,3.908578999668764486e-02,3.404730000000000132e+02
7.119999999999999662e-01,3.310000000000000053e+00,9.397000000000000242e+00,6.086999999999999744e+00,3.969448625745664733e-02,3.341899999999999977e+02,7.159999999999999698e-01,3.310999999999999943e+00,9.513999999999999346e+00,6.203000000000000291e+00,3.952743734128297964e-02,3.404859999999999900e+02
7.209999999999999742e-01,3.297000000000000153e+00,9.375000000000000000e+00,6.078000000000000291e+00,4.019624240396944131e-02,3.342029999999999745e+02,7.249999999999999778e-01,3.286999999999999922e+00,9.489000000000000767e+00,6.201999999999999957e+00,4.002429060395273908e-02,3.405110000000000241e+02
7.299999999999999822e-01,3.322999999999999954e+00,9.385999999999999233e+00,6.062999999999999723e+00,4.069799855048224224e-02,3.341770000000000209e+02,7.339999999999999858e-01,3.298000000000000043e+00,9.513999999999999346e+00,6.216000000000000192e+00,4.052114386662249851e-02,3.404859999999999900e+02
7.389999999999999902e-01,3.347999999999999865e+00,9.413999999999999702e+00,6.065999999999999837e+00,4.119975469699503623e-02,3.341519999999999868e+02,7.429999999999999938e-01,3.311999999999999833e+00,9.529999999999999361e+00,6.217999999999999972e+00,4.101799712929225794e-02,3.404700000000000273e+02
7.469999999999999973e-01,3.322999999999999954e+00,9.398999999999999133e+00,6.075999999999999623e+00,4.164576016056196345e-02,3.341770000000000209e+02,7.510000000000000009e-01,3.338000000000000078e+00,9.542999999999999261e+00,6.205000000000000071e+00,4.145964447388759966e-02,3.404569999999999936e+02
7.560000000000000053e-01,3.309000000000000163e+00,9.375000000000000000e+00,6.065999999999999837e+00,4.214751630707475744e-02,3.341909999999999741e+02,7.590000000000000080e-01,3.362999999999999989e+00,9.579000000000000625e+00,6.216000000000000192e+00,4.190129181848294138e-02,3.404209999999999923e+02
7.650000000000000133e-01,3.347999999999999865e+00,9.410999999999999588e+00,6.062999999999999723e+00,4.264927245358755142e-02,3.341519999999999868e+02,7.680000000000000160e-01,3.363999999999999879e+00,9.569000000000000838e+00,6.205000000000000071e+00,4.239814508115270081e-02,3.404309999999999832e+02
7.730000000000000204e-01,3.373000000000000220e+00,9.423000000000000043e+00,6.049999999999999822e+00,4.309527791715448558e-02,3.341270000000000095e+02,7.770000000000000240e-01,3.375000000000000000e+00,9.566000000000000725e+00,6.190999999999999837e+00,4.289499834382246024e-02,3.404340000000000259e+02
7.830000000000000293e-01,3.358999999999999986e+00,9.410000000000000142e+00,6.051000000000000156e+00,4.365278474661314634e-02,3.341410000000000196e+02,7.860000000000000320e-01,3.374000000000000110e+00,9.566000000000000725e+00,6.192000000000000171e+00,4.339185160649221967e-02,3.404340000000000259e+02
7.910000000000000364e-01,3.334999999999999964e+00,9.372999999999999332e+00,6.038000000000000256e+00,4.409879021018007356e-02,3.341650000000000205e+02,7.950000000000000400e-01,3.375000000000000000e+00,9.554000000000000270e+00,6.179000000000000270e+00,4.388870486916197217e-02,3.404460000000000264e+02
8.000000000000000444e-01,3.321000000000000174e+00,9.359999999999999432e+00,6.038999999999999702e+00,4.460054635669286754e-02,3.341789999999999736e+02,8.030000000000000471e-01,3.349000000000000199e+00,9.528000000000000469e+00,6.179000000000000270e+00,4.433035221375731388e-02,3.404719999999999800e+02
8.080000000000000515e-01,3.321000000000000174e+00,9.358000000000000540e+00,6.036999999999999922e+00,4.504655182025979476e-02,3.341789999999999736e+02,8.120000000000000551e-01,3.347999999999999865e+00,9.525999999999999801e+00,6.177999999999999936e+00,4.482720547642707332e-02,3.404739999999999895e+02
8.169999999999999485e-01,3.321000000000000174e+00,9.346999999999999531e+00,6.025999999999999801e+00,4.554830796677258875e-02,3.341789999999999736e+02,8.209999999999999520e-01,3.373000000000000220e+00,9.551000000000000156e+00,6.177999999999999936e+00,4.532405873909682581e-02,3.404490000000000123e+02
