x,y,z
-9.534669694999960754e+00,3.492335035741999718e+02,2.346653882000190039e-01
-9.062136930999999507e+00,3.492552041331999817e+02,1.586934521999980030e-01
-8.579965300999949918e+00,3.492835107541999946e+02,9.570043820000879997e-02
-8.099651940999979871e+00,3.492917284101999940e+02,4.677797720003139953e-02
-7.598946301000009562e+00,3.492760980712000105e+02,5.944242200033899790e-03
-7.107713638999960004e+00,3.492509477102000233e+02,-2.485794779997090032e-02
-6.613342894999970412e+00,3.492410079211999800e+02,-5.371309079996720165e-02
-6.111012970999960103e+00,3.492495552752000094e+02,-8.163168079998710247e-02
-5.617613634999980121e+00,3.492566265501999965e+02,-9.954698479996039462e-02
-5.122272550999979579e+00,3.492647784391999721e+02,-1.264657278000040075e-01
-4.626362374999960281e+00,3.492629607601999737e+02,-1.493491447999709953e-01
-4.136814726999980429e+00,3.492497761522000133e+02,-1.681938477999770087e-01
-3.642560198999980070e+00,3.492418683792000138e+02,-1.870561207999829889e-01
-3.147934497000000054e+00,3.492450031811999906e+02,-2.049572638000120017e-01
-2.647547208999990076e+00,3.492524840332000053e+02,-2.198724387999969887e-01
-2.145708004999959950e+00,3.492520737482000186e+02,-2.237593787999589967e-01
-1.653512772999979896e+00,3.492451385452000068e+02,-2.176253787999880007e-01
-1.156668102999999892e+00,3.492444856011999832e+02,-2.095124958000069981e-01
-6.676667989999609532e-01,3.492584056562000114e+02,-2.024527788000010098e-01
-1.635184470000060064e-01,3.492701785361999782e+02,-1.973821298000069946e-01
3.510698510000069827e-01,3.492745309342000155e+02,-1.932829847999870121e-01
8.633463370000189485e-01,3.492667425032000210e+02,-1.861415007999830118e-01
1.380844683000050033e+00,3.492552138432000106e+02,-1.879857177999920137e-01
1.898571021000019954e+00,3.492396917112000096e+02,-1.898157948000009920e-01
2.398926459000040090e+00,3.492301821162000124e+02,-1.936709617999629873e-01
2.902737707000000000e+00,3.492478675881999948e+02,-2.106213907999590074e-01
3.396280891000019952e+00,3.492699643262000109e+02,-2.305896867999989996e-01
3.899631007000030181e+00,3.492606327842000269e+02,-2.324448028000080102e-01
4.395789883000009723e+00,3.492369033781999974e+02,-2.242506567999699996e-01
4.896484423000029729e+00,3.492214494392000006e+02,-2.150846918000119956e-01
5.402972399000000259e+00,3.492273319971999967e+02,-2.139927667999780014e-01
5.897819433000029754e+00,3.492265791671999864e+02,-2.018799497999780035e-01
6.388730635000030134e+00,3.492245893891999913e+02,-1.927636637999640135e-01
6.889771201000019829e+00,3.492381668401999946e+02,-1.937001117999959943e-01
7.375407319000020223e+00,3.492408556831999817e+02,-1.926015577999639905e-01
7.874277437000030133e+00,3.492222714741999994e+02,-1.894249937999790134e-01
8.381021439000029716e+00,3.492061258812000233e+02,-1.902553078000109865e-01
