LT_time,LT_x,LT_y,LT_z
1.909999999999999254e+00,9.546468459400000484e+01,4.992191037512000094e+02,-2.643231147999769992e-01
1.920000000000000817e+00,9.597217272000000321e+01,4.992250150841999812e+02,-2.712311207999810181e-01
1.930000000000000604e+00,9.648410699600000839e+01,4.992232203891999802e+02,-2.631108528000000168e-01
1.940000000000000391e+00,9.698374549799999045e+01,4.992087184032000096e+02,-2.509484617999990230e-01
1.950000000000000178e+00,9.748464154999999209e+01,4.992072809751999785e+02,-2.468319357999810004e-01
1.959999999999999964e+00,9.796728121399999623e+01,4.992098199892000139e+02,-2.397334807999760009e-01
1.969999999999999751e+00,9.845762598799998955e+01,4.992177574432000142e+02,-2.466524487999809945e-01
1.979999999999999538e+00,9.897184466600000974e+01,4.992110425701999930e+02,-2.505143917999990144e-01
1.989999999999999325e+00,9.948192422400001078e+01,4.991891024622000259e+02,-2.443234747999709910e-01
2.000000000000000888e+00,9.999725505000000680e+01,4.991804513801999974e+02,-2.471783328000140001e-01
2.010000000000000675e+00,1.004909690060000003e+02,4.991995565422000141e+02,-2.661360297999619817e-01
2.020000000000000462e+00,1.009857363360000022e+02,4.992177520871999832e+02,-2.760902248000099979e-01
2.030000000000000249e+00,1.014810707599999944e+02,4.992260098162000190e+02,-2.730091477999669891e-01
2.040000000000000036e+00,1.019946602400000017e+02,4.992303122711999777e+02,-2.669100357999960038e-01
2.049999999999999822e+00,1.024921047420000093e+02,4.992366978462000020e+02,-2.608218647999659967e-01
2.059999999999999609e+00,1.030036983619999944e+02,4.992408721912000260e+02,-2.587227708000149895e-01
2.069999999999999396e+00,1.035148048140000014e+02,4.992360324492000245e+02,-2.485919307999669980e-01
2.079999999999999183e+00,1.040051152959999854e+02,4.992270182642000123e+02,-2.334509567999799862e-01
2.090000000000000746e+00,1.044910658119999880e+02,4.992417445222000083e+02,-2.323948018000029925e-01
2.100000000000000533e+00,1.049773333899999841e+02,4.992684658591999778e+02,-2.433809737999710066e-01
2.110000000000000320e+00,1.054738380699999993e+02,4.992737713711999845e+02,-2.442892468000039952e-01
2.120000000000000107e+00,1.059605010399999969e+02,4.992584754782000118e+02,-2.471270387999900120e-01
2.129999999999999893e+00,1.064677894300000105e+02,4.992503420762000133e+02,-2.569855577999810015e-01
2.139999999999999680e+00,1.069630403339999987e+02,4.992425230541999781e+02,-2.668478637999719960e-01
2.149999999999999467e+00,1.074646791360000009e+02,4.992280786182000156e+02,-2.706853347999910175e-01
2.159999999999999254e+00,1.079690848459999870e+02,4.992178021792000209e+02,-2.735368887999770071e-01
2.170000000000000817e+00,1.084658729619999917e+02,4.992181405471999938e+02,-2.674275288000049766e-01
2.180000000000000604e+00,1.089640874019999899e+02,4.992285836492000044e+02,-2.593534887999660032e-01
2.190000000000000391e+00,1.094600209920000111e+02,4.992438904812000260e+02,-2.552971418000050119e-01
2.200000000000000178e+00,1.099687308219999977e+02,4.992459394292000070e+02,-2.411911127999940008e-01
2.209999999999999964e+00,1.104800641559999974e+02,4.992371238552000250e+02,-2.260461628000079992e-01
2.219999999999999751e+00,1.109972768460000054e+02,4.992305976192000116e+02,-2.249080727999749896e-01
2.229999999999999538e+00,1.114942377319999878e+02,4.992279126592000011e+02,-2.267880597999840098e-01
2.239999999999999325e+00,1.119876914019999958e+02,4.992340279022000118e+02,-2.326999008000129876e-01
2.250000000000000888e+00,1.124901052900000025e+02,4.992586449511999831e+02,-2.496750958000089893e-01
2.260000000000000675e+00,1.129778281140000047e+02,4.992774222311999779e+02,-2.646329427999959960e-01
2.270000000000000462e+00,1.134675732780000033e+02,4.992783176382000079e+02,-2.705271927999670090e-01
2.280000000000000249e+00,1.139693004840000015e+02,4.992798723372000040e+02,-2.834211488000010215e-01
2.290000000000000036e+00,1.144888523539999881e+02,4.992674628351999786e+02,-2.842617947999769856e-01
2.299999999999999822e+00,1.149898891039999853e+02,4.992460151601999883e+02,-2.760746137999949834e-01
2.309999999999999609e+00,1.154968891739999890e+02,4.992429265182000222e+02,-2.709508978000009782e-01
2.319999999999999396e+00,1.159955328959999861e+02,4.992633961871999873e+02,-2.669121627999809787e-01
2.329999999999999183e+00,1.164833078339999872e+02,4.992812527152000257e+02,-2.598666067999769735e-01
2.340000000000000746e+00,1.169735938339999848e+02,4.992902167611999857e+02,-2.587891577999990034e-01
2.350000000000000533e+00,1.174646212520000006e+02,4.992861949672000037e+02,-2.596657417999769790e-01
2.360000000000000320e+00,1.179782975399999998e+02,4.992714361512000210e+02,-2.634994257999950240e-01
2.370000000000000107e+00,1.184903776200000038e+02,4.992495500652000260e+02,-2.743083647999620123e-01
2.379999999999999893e+00,1.190039677240000060e+02,4.992187568342000077e+02,-2.790855037999580013e-01
2.389999999999999680e+00,1.195046090399999912e+02,4.992042412871999773e+02,-2.869229717999959850e-01
2.399999999999999467e+00,1.200027157000000102e+02,4.992165823412000236e+02,-3.068558337999769958e-01
2.409999999999999254e+00,1.205065251720000106e+02,4.992342960372000107e+02,-3.158063107999919961e-01
2.420000000000000817e+00,1.210006902279999963e+02,4.992454918711999881e+02,-3.127358598000070100e-01
2.430000000000000604e+00,1.215159353560000000e+02,4.992558844202000046e+02,-3.106578917999979761e-01
2.440000000000000391e+00,1.220145503359999850e+02,4.992593142502000205e+02,-3.095590647999649780e-01
2.450000000000000178e+00,1.225171828500000117e+02,4.992450009012000010e+02,-2.923966407999680217e-01
2.459999999999999964e+00,1.230153672159999871e+02,4.992384253321999950e+02,-2.812625448000010131e-01
2.469999999999999751e+00,1.235237377219999928e+02,4.992464221522000116e+02,-2.791776537999909880e-01
2.479999999999999538e+00,1.240206707959999903e+02,4.992617683432000035e+02,-2.801212557999679942e-01
2.489999999999999325e+00,1.245185476879999840e+02,4.992781310931999883e+02,-2.920683057999680088e-01
2.500000000000000888e+00,1.250273194000000103e+02,4.992791040572000156e+02,-2.999586098000069923e-01
2.510000000000000675e+00,1.255169202719999930e+02,4.992649810571999751e+02,-3.017998797999599803e-01
2.520000000000000462e+00,1.260196725540000102e+02,4.992485792442000161e+02,-3.106302297999740114e-01
2.530000000000000249e+00,1.265260215659999972e+02,4.992393587231999845e+02,-3.294851807999800153e-01
2.540000000000000036e+00,1.270410382160000040e+02,4.992186666982000247e+02,-3.332976337999979943e-01
2.549999999999999822e+00,1.275417329779999989e+02,4.992032092311999918e+02,-3.251316627999599751e-01
2.559999999999999609e+00,1.280286259799999868e+02,4.992189732162000269e+02,-3.290789917999790148e-01
2.569999999999999396e+00,1.285187712819999888e+02,4.992479475092000030e+02,-3.320721977999649965e-01
2.579999999999999183e+00,1.290050613440000120e+02,4.992567223671999841e+02,-3.199948987999640115e-01
2.590000000000000746e+00,1.295097476040000117e+02,4.992415246482000271e+02,-3.028288977999680220e-01
2.600000000000000533e+00,1.300100988240000106e+02,4.992320820851999770e+02,-2.876841787999819822e-01
2.610000000000000320e+00,1.305186418780000110e+02,4.992370591051999895e+02,-2.925886407999779837e-01
2.620000000000000107e+00,1.310314073079999844e+02,4.992382565372000158e+02,-3.014788547999919799e-01
