width_LLS_A,Weights,error_LLS_A
6.143504805979880246e+00,9.889277864213039670e-01,-2.064951940201193992e-01
6.158387497251600173e+00,9.914123500201880157e-01,-1.916125027483994714e-01
6.077564189866800248e+00,1.005588630541059958e+00,-2.724358101331993964e-01
6.108166054791600352e+00,1.004264751341199968e+00,-2.418339452083992924e-01
6.081846872249490055e+00,9.763540690679409773e-01,-2.681531277505095900e-01
6.039483329917319843e+00,9.439356494408549514e-01,-3.105166700826798021e-01
6.026925917834610402e+00,9.072167058097659886e-01,-3.230740821653892425e-01
6.076147082665459997e+00,8.664792460372420235e-01,-2.738529173345396472e-01
6.106090759584660077e+00,8.256549823174109681e-01,-2.439092404153395677e-01
6.067211655801949988e+00,7.753037461445589917e-01,-2.827883441980496571e-01
6.084154466865859590e+00,7.123280021485050018e-01,-2.658455331341400552e-01
6.067023700311979795e+00,6.501793552152289601e-01,-2.829762996880198500e-01
6.027900663593990238e+00,5.827576396567980543e-01,-3.220993364060094066e-01
6.025220132790719774e+00,5.105954573948739972e-01,-3.247798672092798711e-01
6.015100452192809755e+00,4.394449427564309785e-01,-3.348995478071898901e-01
6.044578827343769944e+00,3.165087488330580179e-01,-3.054211726562297002e-01
5.956426508691479604e+00,1.967141689671849936e-01,-3.935734913085200404e-01
5.891631529096789777e+00,1.415218326189700004e-01,-4.583684709032098681e-01
6.019313418206849953e+00,1.274007293919950101e-01,-3.306865817931496920e-01
6.032914179835770163e+00,9.705424517840409437e-02,-3.170858201642294816e-01
6.044672656651320253e+00,0.000000000000000000e+00,-3.053273433486793920e-01
6.046383074162640092e+00,0.000000000000000000e+00,-3.036169258373595525e-01
6.035522706464689691e+00,0.000000000000000000e+00,-3.144772935353099541e-01
6.048449653411689830e+00,4.729853331198519834e-02,-3.015503465883098144e-01
6.061997367948150028e+00,0.000000000000000000e+00,-2.880026320518496163e-01
6.010752170804350314e+00,0.000000000000000000e+00,-3.392478291956493308e-01
6.065484577285640277e+00,0.000000000000000000e+00,-2.845154227143593673e-01
6.071446071526279908e+00,0.000000000000000000e+00,-2.785539284737197363e-01
