width_LLS_B,Weights,error_LLS_B
5.677794818413220312e+00,9.982662401846800204e-01,-6.722051815867793323e-01
5.727908256946859566e+00,1.001819681306610033e+00,-6.220917430531400782e-01
5.702774763218339871e+00,9.960925990572889743e-01,-6.472252367816597740e-01
5.652832298945369871e+00,1.005374629214369930e+00,-6.971677010546297737e-01
5.678898220605820057e+00,9.945386406562829462e-01,-6.711017793941795873e-01
5.663652973126089840e+00,1.002336993404949972e+00,-6.863470268739098046e-01
5.653169818783090328e+00,9.984228114845790092e-01,-6.968301812169093168e-01
5.712823557576410138e+00,1.006703146343840061e+00,-6.371764424235895063e-01
5.737924537670389569e+00,1.003398112681280097e+00,-6.120754623296100760e-01
5.776047524042719594e+00,9.871550017610990491e-01,-5.739524759572800505e-01
5.813079046426260277e+00,1.001651088403330059e+00,-5.369209535737393679e-01
5.810564602514969756e+00,1.004457655591439957e+00,-5.394353974850298883e-01
5.810809668195989985e+00,1.001402739223079985e+00,-5.391903318040096593e-01
5.776028566411349985e+00,9.973169868477930189e-01,-5.739714335886496599e-01
5.748584869339580017e+00,1.000181402830639943e+00,-6.014151306604196279e-01
5.723926798972890140e+00,1.002865105141399926e+00,-6.260732010271095049e-01
5.796538363540779670e+00,1.000298167259580095e+00,-5.534616364592199744e-01
5.772640643587649834e+00,1.002632648354919942e+00,-5.773593564123498112e-01
5.785934755940480123e+00,9.998737023419439485e-01,-5.640652440595195216e-01
5.787916550884269817e+00,9.917903511498239455e-01,-5.620834491157298274e-01
5.822591605118810243e+00,1.001068514401729947e+00,-5.274083948811894018e-01
5.871705203771729664e+00,1.005224057548409933e+00,-4.782947962282699805e-01
5.871801256854659812e+00,9.974782043347799609e-01,-4.781987431453398329e-01
5.910968533159350002e+00,9.917327071053519960e-01,-4.390314668406496423e-01
5.870956991837020134e+00,1.000384052392069956e+00,-4.790430081629795112e-01
5.857722509644849751e+00,1.009783504723019920e+00,-4.922774903551498937e-01
5.870752592300240380e+00,1.005919095427209919e+00,-4.792474076997592647e-01
5.832590590809539677e+00,9.979612958840069492e-01,-5.174094091904599679e-01
5.795580126268640164e+00,1.002801766861940003e+00,-5.544198737313594805e-01
5.809636563503779882e+00,1.006598926748879963e+00,-5.403634364962197623e-01
5.769701985371519903e+00,9.958599454399910123e-01,-5.802980146284797414e-01
5.771686235408160393e+00,1.000586766502679970e+00,-5.783137645918392522e-01
5.772086711060389952e+00,9.996321186262340230e-01,-5.779132889396096928e-01
5.771849097126500183e+00,9.992160211601539554e-01,-5.781509028734994615e-01
5.759627244883129826e+00,9.949558054738359969e-01,-5.903727551168698184e-01
5.783830305256199900e+00,9.926238291018320004e-01,-5.661696947437997451e-01
5.834773431762370066e+00,1.006489864744809948e+00,-5.152265682376295786e-01
5.858786563786050117e+00,1.000132894026420027e+00,-4.912134362139495281e-01
5.883766990627689708e+00,9.907876941732060017e-01,-4.662330093723099367e-01
5.835999400274129556e+00,1.000835678111859917e+00,-5.140005997258700887e-01
5.820929135455950032e+00,1.001694473344489911e+00,-5.290708645440496127e-01
5.846016250405059900e+00,9.971251605516660010e-01,-5.039837495949397450e-01
5.831562569329079793e+00,1.001700976075740046e+00,-5.184374306709198521e-01
5.807666743193859560e+00,9.993641697231939736e-01,-5.423332568061400849e-01
5.784934917524999776e+00,1.000728075572280051e+00,-5.650650824749998691e-01
5.796862599717200304e+00,9.937206436488139616e-01,-5.531374002827993408e-01
5.807931215157429605e+00,9.978272657844989846e-01,-5.420687848425700395e-01
5.795880088476639713e+00,9.998853182779270377e-01,-5.541199115233599315e-01
5.799457215981510316e+00,9.945616696515430233e-01,-5.505427840184893284e-01
5.769765766476139923e+00,9.944458911999980444e-01,-5.802342335238597215e-01
5.782084831615669884e+00,1.008015536530149969e+00,-5.679151683843297604e-01
5.772226780021729731e+00,1.005580087105609977e+00,-5.777732199782699141e-01
5.758921166329679764e+00,9.960762562226359584e-01,-5.910788336703198809e-01
5.779448503101310308e+00,9.950089058181550428e-01,-5.705514968986893365e-01
5.796879936655580323e+00,9.988385999223849954e-01,-5.531200633444193215e-01
5.733803711324619634e+00,1.003178594475250041e+00,-6.161962886753800106e-01
5.756703570620950394e+00,1.000041673000380049e+00,-5.932964293790492505e-01
5.803422180058929847e+00,9.994647180311639900e-01,-5.465778199410697979e-01
5.855707130654669967e+00,9.978146921477250020e-01,-4.942928693453296773e-01
5.895917316245199657e+00,9.952248323249770490e-01,-4.540826837547999872e-01
5.923195505805970207e+00,1.005999269757249959e+00,-4.268044941940294379e-01
5.922021698710669746e+00,1.006319022435570032e+00,-4.279783012893298988e-01
5.906701025106990244e+00,1.004218017279209896e+00,-4.432989748930094009e-01
5.919669078588770006e+00,9.914052708232690136e-01,-4.303309214112296388e-01
5.935316419534849786e+00,9.944201253820510455e-01,-4.146835804651498592e-01
5.920684082097269929e+00,1.006007058118109976e+00,-4.293159179027297156e-01
