Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft,TapeEdgeRight,Gap,Gap_Rotated
2023-07-26 15:42:24.247,5242189,5242639,14.5443049316406,14.5483050130208,16.5073916829427,16.5113917236328,3.528,9.931,6.403,6.40461903628936
2023-07-26 15:42:24.256,5242192,5242642,14.5573487141927,14.5613487548828,16.5204357503255,16.5244358317057,3.515,9.919,6.404,6.40518110594853
2023-07-26 15:42:24.269,5242194,5242644,14.5660447591146,14.5700447998047,16.5291318359375,16.5331318766276,3.516,9.907,6.391,6.39220282844654
2023-07-26 15:42:24.278,5242197,5242647,14.5790888264974,14.5830889078776,16.5421759033203,16.5461759847005,3.503,9.895,6.392,6.39282981159361
2023-07-26 15:42:24.291,5242199,5242649,14.5877849121094,14.5917849527995,16.5508718261719,16.5548718261719,3.554,9.918,6.364,6.36558402662317
2023-07-26 15:42:24.304,5242202,5242652,14.6008289794922,14.6048289794922,16.5639157307943,16.5679157714844,3.477,9.868,6.391,6.39218350800413
2023-07-26 15:42:24.313,5242205,5242655,14.6138727620443,14.6178728027344,16.5769597981771,16.5809598795573,3.453,9.855,6.402,6.40318147486076
2023-07-26 15:42:24.326,5242207,5242657,14.6225688069661,14.6265688476562,16.5856558837891,16.5896559244792,3.464,9.879,6.415,6.41617908104192
2023-07-26 15:42:24.334,5242210,5242660,14.635612874349,14.6396129557292,16.5986999511719,16.6026999511719,3.452,9.869,6.417,6.41785898879058
2023-07-26 15:42:24.348,5242212,5242662,14.6443089599609,14.648309000651,16.6073956705729,16.6114061686198,3.464,9.906,6.442,6.44274537755451
2023-07-26 15:42:24.361,5242215,5242665,14.6573527018229,14.661352742513,16.6204397786458,16.6244398193359,3.489,9.918,6.429,6.42989035676348
2023-07-26 15:42:24.369,5242218,5242668,14.6703968098958,14.6743968505859,16.6334838460286,16.6374839274089,3.515,9.944,6.429,6.4298411333407
2023-07-26 15:42:24.382,5242220,5242670,14.6790928548177,14.6830928955078,16.6421799316406,16.6461799723307,3.49,9.929,6.439,6.44045728190165
2023-07-26 15:42:24.396,5242223,5242673,14.6921369222005,14.6961370035807,16.6552236735026,16.6592237141927,3.451,9.869,6.418,6.41876351020973
2023-07-26 15:42:24.404,5242226,5242676,14.7051807047526,14.7091807454427,16.6682677815755,16.6722678222656,3.503,9.904,6.401,6.40205099948446
2023-07-26 15:42:24.417,5242228,5242678,14.7138767496745,14.7178767903646,16.6769638264974,16.6809638671875,3.464,9.868,6.404,6.40486073228763
2023-07-26 15:42:24.426,5242231,5242681,14.7269208577474,14.7309208984375,16.6900078938802,16.6940079752604,3.427,9.843,6.416,6.41687556369921
2023-07-26 15:42:24.439,5242233,5242683,14.7356169026693,14.7396169433594,16.6987038574219,16.7027038574219,3.453,9.868,6.415,6.41629690709524
2023-07-26 15:42:24.447,5242236,5242686,14.7486609700521,14.7526610107422,16.7117477213542,16.7157477620443,3.515,9.918,6.403,6.40378083634973
2023-07-26 15:42:24.460,5242238,5242688,14.7573567301432,14.7613567708333,16.720443766276,16.7244438476563,3.541,9.955,6.414,6.41554962571407
2023-07-26 15:42:24.469,5242241,5242691,14.770400797526,14.7744008382161,16.733487874349,16.7374879150391,3.514,9.942,6.428,6.4290286202505
2023-07-26 15:42:24.482,5242243,5242693,14.7790968424479,14.7830969238281,16.7421839192708,16.746184000651,3.527,9.956,6.429,6.42964400258677
2023-07-26 15:42:24.491,5242246,5242696,14.7921409505208,14.7961409912109,16.7552277018229,16.759227742513,3.502,9.93,6.428,6.42873183450671
2023-07-26 15:42:24.504,5242248,5242698,14.8008367919922,14.8048367919922,16.7639237467448,16.7679237874349,3.477,9.904,6.427,6.427762441161
2023-07-26 15:42:24.512,5242251,5242701,14.8138807779948,14.8178808186849,16.7769678141276,16.7809678955078,3.476,9.929,6.453,6.45406058230011
2023-07-26 15:42:24.525,5242253,5242703,14.8225768229167,14.8265768636068,16.7856638997396,16.7896639404297,3.476,9.917,6.441,6.44190538583112
2023-07-26 15:42:24.534,5242256,5242706,14.8356208902995,14.8396209716797,16.7987077636719,16.8027077636719,3.464,9.904,6.44,6.44093937248287
2023-07-26 15:42:24.547,5242258,5242708,14.8443169759115,14.8483170166016,16.8074036865234,16.8114037679036,3.452,9.893,6.441,6.44227172665047
2023-07-26 15:42:24.556,5242261,5242711,14.8573607177734,14.8613607584635,16.820458211263,16.8244582519531,3.464,9.906,6.442,6.44271526609705
2023-07-26 15:42:24.569,5242263,5242713,14.8660567626953,14.8700568440755,16.8291438395182,16.8331439208984,3.49,9.929,6.439,6.44052179563116
2023-07-26 15:42:24.582,5242266,5242716,14.8791008707682,14.8831009114583,16.8421879475911,16.8461879882813,3.452,9.904,6.452,6.45321075124624
2023-07-26 15:42:24.591,5242269,5242719,14.892144938151,14.8961450195313,16.8552316894531,16.8592317301432,3.478,9.892,6.414,6.41531729534869
2023-07-26 15:42:24.604,5242271,5242721,14.9008406982422,14.9048407389323,16.863927734375,16.8679278157552,3.489,9.893,6.404,6.40494465237601
2023-07-26 15:42:24.617,5242274,5242724,14.913884765625,14.9178848063151,16.8769718424479,16.880971883138,3.478,9.904,6.426,6.42761324287639
2023-07-26 15:42:24.630,5242277,5242727,14.9269288736979,14.930928914388,16.8900159098307,16.8940159912109,3.478,9.918,6.44,6.44108096517968
2023-07-26 15:42:24.639,5242280,5242730,14.9399729410807,14.9439729817708,16.9030596923828,16.9070597330729,3.49,9.942,6.452,6.45321075124624
2023-07-26 15:42:24.652,5242282,5242732,14.9486688232422,14.9526688232422,16.9117557373047,16.9157557779948,3.503,9.955,6.452,6.45315333771018
2023-07-26 15:42:24.661,5242285,5242735,14.9617127685547,14.9657128092448,16.9247998453776,16.9287998860677,3.477,9.954,6.477,6.47800316455619
2023-07-26 15:42:24.674,5242287,5242737,14.9704088134766,14.9744088541667,16.9334958902995,16.9374959309896,3.463,9.955,6.492,6.49266609337027
2023-07-26 15:42:24.683,5242290,5242740,14.9834529215495,14.9874529622396,16.9465397949219,16.9505397949219,3.452,9.953,6.501,6.50201707164784
2023-07-26 15:42:24.696,5242292,5242742,14.9921489664714,14.9961490071615,16.9552357177734,16.9592357584635,3.426,9.929,6.503,6.50399915436649
2023-07-26 15:42:24.704,5242295,5242745,15.0051927083333,15.0091927897135,16.9682797851563,16.9722798258464,3.427,9.904,6.477,6.47836538024832
2023-07-26 15:42:24.717,5242297,5242747,15.0138887939453,15.0178888346354,16.9769758300781,16.9809759114583,3.428,9.904,6.476,6.47757863711433
2023-07-26 15:42:24.726,5242300,5242750,15.0269328613281,15.0309329020182,16.990019938151,16.9940199788411,3.426,9.902,6.476,6.47730468636454
2023-07-26 15:42:24.738,5242302,5242752,15.03562890625,15.0396289876302,16.9987156575521,17.0027156982422,3.464,9.93,6.466,6.46682031604404
2023-07-26 15:42:24.747,5242305,5242755,15.0486727294922,15.0526727294922,17.011759765625,17.0157598063151,3.515,9.953,6.438,6.43996312101242
2023-07-26 15:42:24.760,5242307,5242757,15.057368733724,15.0613687744141,17.0204558105469,17.024455851237,3.503,9.953,6.45,6.45141263600461
2023-07-26 15:42:24.769,5242310,5242760,15.0704128417969,15.074412882487,17.0335102945964,17.0375103759766,3.476,9.927,6.451,6.45204285478638
2023-07-26 15:42:24.782,5242312,5242762,15.0791088867188,15.0831089274089,17.0421959635417,17.0461960042318,3.464,9.914,6.45,6.4514761101627
2023-07-26 15:42:24.791,5242315,5242765,15.0921529541016,15.0961530354818,17.0552397054036,17.0592397460938,3.464,9.927,6.463,6.46440979517852
2023-07-26 15:42:24.804,5242317,5242767,15.1008487141927,15.1048487548828,17.0639357503255,17.0679358317057,3.452,9.914,6.462,6.46320887794909
2023-07-26 15:42:24.812,5242320,5242770,15.1138927815755,15.1178928222656,17.0769798583984,17.0809798990885,3.439,9.889,6.45,6.45183818767954
2023-07-26 15:42:24.825,5242322,5242772,15.1225888264974,15.1265889078776,17.0856759033203,17.0896759847005,3.439,9.891,6.452,6.45315333771018
2023-07-26 15:42:24.839,5242325,5242775,15.1356329345703,15.1396329752604,17.0987196858724,17.1027197265625,3.453,9.894,6.441,6.44223229944404
2023-07-26 15:42:24.847,5242328,5242778,15.1486766764323,15.1526767578125,17.1117637532552,17.1157637939453,3.502,9.968,6.466,6.46713205370046
2023-07-26 15:42:24.860,5242330,5242780,15.1573727620443,15.1613728027344,17.1204597981771,17.1244598795573,3.515,9.969,6.454,6.45528907176123
2023-07-26 15:42:24.869,5242333,5242783,15.1704168294271,15.1744168701172,17.13350390625,17.1375039469401,3.515,9.956,6.441,6.44211774186098
2023-07-26 15:42:24.882,5242335,5242785,15.179112874349,15.1831129557292,17.1421999511719,17.1461999511719,3.503,9.955,6.452,6.45297202845325
2023-07-26 15:42:24.891,5242338,5242788,15.1921569824219,15.196157023112,17.155243733724,17.1592437744141,3.489,9.951,6.462,6.46345209620989
2023-07-26 15:42:24.904,5242340,5242790,15.2008527018229,15.204852742513,17.1639397786458,17.1679398193359,3.489,9.928,6.439,6.43992251506181
2023-07-26 15:42:24.913,5242343,5242793,15.2138968098958,15.2178968505859,17.1769838460286,17.1809839274089,3.451,9.889,6.438,6.43915584529525
2023-07-26 15:42:24.926,5242345,5242795,15.2225928548177,15.2265928955078,17.1856799316406,17.1896799723307,3.452,9.878,6.426,6.42701112493202
2023-07-26 15:42:24.935,5242348,5242798,15.2356369222005,15.2396370035807,17.1987236735026,17.2027237141927,3.451,9.913,6.462,6.46360425768781
2023-07-26 15:42:24.948,5242350,5242800,15.2443328857422,15.2483328857422,17.2074197184245,17.2114197998047,3.451,9.914,6.463,6.46458181168743
2023-07-26 15:42:24.956,5242353,5242803,15.2573767496745,15.2613767903646,17.2204638264974,17.2244638671875,3.464,9.942,6.478,6.47891696196208
2023-07-26 15:42:24.969,5242355,5242805,15.266083211263,15.2700832926432,17.2291598714193,17.2331599527995,3.514,9.99,6.476,6.47724517059529
2023-07-26 15:42:24.978,5242358,5242808,15.2791169026693,15.2831169433594,17.2422038574219,17.2462038574219,3.514,9.979,6.465,6.46593574047871
2023-07-26 15:42:24.991,5242360,5242810,15.2878129475911,15.2918130289714,17.2508996988932,17.2548997395833,3.515,9.965,6.45,6.45141263600461
2023-07-26 15:42:25.000,5242363,5242813,15.3008567301432,15.3048567708333,17.263943766276,17.2679438476563,3.502,9.954,6.452,6.45264170708401
2023-07-26 15:42:25.013,5242365,5242815,15.3095527750651,15.3135528157552,17.272639851888,17.2766398925781,3.502,9.952,6.45,6.45083839512354
2023-07-26 15:42:25.022,5242368,5242818,15.3225968424479,15.3265969238281,17.2856839192708,17.289684000651,3.476,9.915,6.439,6.44009953339232
2023-07-26 15:42:25.035,5242370,5242820,15.3312929280599,15.33529296875,17.2943796386719,17.2983797200521,3.437,9.902,6.465,6.46566887491155
2023-07-26 15:42:25.043,5242373,5242823,15.3443367919922,15.3483367919922,17.3074237467448,17.3114237874349,3.462,9.915,6.453,6.45354669929644
2023-07-26 15:42:25.056,5242375,5242825,15.3530327148437,15.357032796224,17.3161197916667,17.3201198730469,3.463,9.939,6.476,6.47709325237795
2023-07-26 15:42:25.064,5242378,5242828,15.3660768229167,15.3700768636068,17.3291638997396,17.3331639404297,3.451,9.94,6.489,6.49024267651064
2023-07-26 15:42:25.078,5242380,5242830,15.3747728678385,15.3787729492187,17.3378599446615,17.3418599853516,3.464,9.964,6.5,6.50129987002599
2023-07-26 15:42:25.086,5242383,5242833,15.3878169759115,15.3918170166016,17.3509036865234,17.3549037679036,3.463,9.965,6.502,6.5032401923964
2023-07-26 15:42:25.099,5242385,5242835,15.3965126953125,15.4005127360026,17.3595997721354,17.3635998128255,3.438,9.95,6.512,6.51344094929861
2023-07-26 15:42:25.108,5242388,5242838,15.4095567626953,15.4135568440755,17.3726438395182,17.3766439208984,3.426,9.926,6.5,6.50088063265278
2023-07-26 15:42:25.121,5242390,5242840,15.4182528483073,15.4222528889974,17.3813399251302,17.3853399658203,3.412,9.926,6.514,6.51473713974708
2023-07-26 15:42:25.130,5242393,5242843,15.4312969156901,15.4352969970703,17.3943836669922,17.3983837076823,3.437,9.962,6.525,6.5263553381654
2023-07-26 15:42:25.143,5242395,5242845,15.4399930013021,15.4439930419922,17.4030797119141,17.4070797932943,3.411,9.959,6.548,6.54933034744775
2023-07-26 15:42:25.152,5242398,5242848,15.4530367431641,15.4570367838542,17.416123819987,17.4201238606771,3.426,9.961,6.535,6.53658634150885
2023-07-26 15:42:25.165,5242400,5242850,15.4617327880859,15.4657328694661,17.4248198649089,17.428819905599,3.45,9.986,6.536,6.53719519365913
2023-07-26 15:42:25.178,5242403,5242853,15.4747768961589,15.478776936849,17.4378639729818,17.4418640136719,3.45,9.985,6.535,6.5364358789787
2023-07-26 15:42:25.191,5242406,5242856,15.4878209635417,15.4918210449219,17.4509077148438,17.4549077555339,3.451,9.987,6.536,6.53739405267879
2023-07-26 15:42:25.200,5242409,5242859,15.5008647460938,15.5048647867839,17.4639517822266,17.4679518636068,3.488,10.025,6.537,6.53825305414222
2023-07-26 15:42:25.213,5242411,5242861,15.5095607910156,15.5135608317057,17.4726478678385,17.4766479085286,3.488,10.025,6.537,6.53839383946853
2023-07-26 15:42:25.222,5242414,5242864,15.5226048583984,15.5266049397786,17.4856919352214,17.4896920166016,3.475,10.001,6.526,6.52678151924821
2023-07-26 15:42:25.235,5242416,5242866,15.5313009440104,15.5353009847005,17.4943876546224,17.4983877360026,3.463,9.999,6.536,6.53721439146675
2023-07-26 15:42:25.243,5242419,5242869,15.5443446858724,15.5483447265625,17.5074317626953,17.5114318033854,3.45,10.01,6.56,6.56093903340063
2023-07-26 15:42:25.256,5242421,5242871,15.5530407307943,15.5570408121745,17.5161278076172,17.5201278889974,3.436,9.985,6.549,6.54992374001408
2023-07-26 15:42:25.270,5242424,5242874,15.5660848388672,15.5700848795573,17.5291719156901,17.5331719563802,3.411,9.97,6.559,6.56015319943064
2023-07-26 15:42:25.278,5242427,5242877,15.57912890625,15.5831289876302,17.5422156575521,17.5462156982422,3.437,9.995,6.558,6.55966980876324
2023-07-26 15:42:25.291,5242429,5242879,15.587824991862,15.5918250325521,17.550911702474,17.5549117838542,3.437,9.984,6.547,6.54829054028607
2023-07-26 15:42:25.304,5242432,5242882,15.600868733724,15.6048687744141,17.5639558105469,17.567955851237,3.437,9.986,6.549,6.55006297679648
2023-07-26 15:42:25.313,5242435,5242885,15.6139128417969,15.617912882487,17.5770102945964,17.5810103759766,3.462,10.012,6.55,6.55094046683375
2023-07-26 15:42:25.326,5242437,5242887,15.6226088867188,15.6266089274089,17.5856959635417,17.5896960042318,3.477,10.012,6.535,6.53683792058515
2023-07-26 15:42:25.338,5242440,5242890,15.6356529541016,15.6396530354818,17.5987397054036,17.6027397460938,3.45,9.961,6.511,6.51208737656368
2023-07-26 15:42:25.347,5242443,5242893,15.6486967366536,15.6526967773438,17.6117838134766,17.6157838541667,3.451,9.962,6.511,6.51218066395581
2023-07-26 15:42:25.361,5242445,5242895,15.6573927815755,15.6613928222656,17.6204798583984,17.6244798990885,3.475,9.997,6.522,6.52348104925583
2023-07-26 15:42:25.369,5242448,5242898,15.6704368896484,15.6744369303385,17.6335239257813,17.6375240071615,3.463,9.986,6.523,6.52450220323359
2023-07-26 15:42:25.382,5242450,5242900,15.6791329345703,15.6831329752604,17.6422196858724,17.6462197265625,3.436,9.972,6.536,6.53673465883387
2023-07-26 15:42:25.396,5242453,5242903,15.6921766764323,15.6961767578125,17.6552637532552,17.6592637939453,3.45,9.971,6.521,6.52252420463121
2023-07-26 15:42:25.408,5242456,5242906,15.7052207845052,15.7092208251953,17.6683078613281,17.6723079020182,3.448,9.958,6.51,6.51091245525541
2023-07-26 15:42:25.422,5242459,5242909,15.718264851888,15.7222649332682,17.6813519287109,17.685351969401,3.437,9.923,6.486,6.48689910511949
2023-07-26 15:42:25.430,5242462,5242912,15.7313089599609,15.735309000651,17.6943956705729,17.6984061686198,3.475,9.96,6.485,6.48605534974841
2023-07-26 15:42:25.444,5242464,5242914,15.7400047607422,15.7440047607422,17.7030917561849,17.707091796875,3.475,9.949,6.474,6.47520663762941
2023-07-26 15:42:25.457,5242467,5242917,15.7530487467448,15.757048828125,17.7161358235677,17.7201359049479,3.462,9.961,6.499,6.50007115345671
2023-07-26 15:42:25.465,5242470,5242920,15.7660928548177,15.7700928955078,17.7291799316406,17.7331799723307,3.474,9.96,6.486,6.48720440559722
2023-07-26 15:42:25.478,5242472,5242922,15.7747888997396,15.7787889811198,17.7378757324219,17.7418757324219,3.474,9.961,6.487,6.48766660672387
2023-07-26 15:42:25.491,5242475,5242925,15.7878328857422,15.7918328857422,17.7509197184245,17.7549197998047,3.5,9.984,6.484,6.48557668985573
