Id,TimeStamp,X_mm_,Y_mm_,Z_mm_
254,26.07.2023 15:37:13.160,-56.830776651,186.6658868352,16.2177953882
255,26.07.2023 15:37:13.170,-56.349180433,186.6867668572,16.0468277462
256,26.07.2023 15:37:13.180,-55.892229833,186.7182699032,15.8788171622
257,26.07.2023 15:37:13.190,-55.414401561,186.7349672652,15.7188635102
258,26.07.2023 15:37:13.200,-54.936205043,186.7276679642,15.5649946412
259,26.07.2023 15:37:13.210,-54.4751245089999,186.7043706892,15.4121784132
260,26.07.2023 15:37:13.220,-54.017150429,186.6828568172,15.2473551242
261,26.07.2023 15:37:13.230,-53.563512277,186.6671122132,15.0845105292
262,26.07.2023 15:37:13.240,-53.105823409,186.6505937092,14.9206695592
263,26.07.2023 15:37:13.250,-52.625456707,186.6403744942,14.7558114032
264,26.07.2023 15:37:13.260,-52.166509623,186.6369099642,14.5809245862
265,26.07.2023 15:37:13.270,-51.689704915,186.6364540402,14.4020311012
266,26.07.2023 15:37:13.280,-51.211960385,186.6370781792,14.2301340602
267,26.07.2023 15:37:13.290,-50.735615213,186.6446656472,14.0672121992
268,26.07.2023 15:37:13.300,-50.252022913,186.6656702512,13.8992445812
269,26.07.2023 15:37:13.310,-49.770598799,186.6895630172,13.7332663042
270,26.07.2023 15:37:13.320,-49.296421591,186.7000351192,13.5713337902
271,26.07.2023 15:37:13.330,-48.817681573,186.7007621212,13.4124366922
272,26.07.2023 15:37:13.340,-48.366668923,186.6959137912,13.2575531222
273,26.07.2023 15:37:13.350,-47.898113713,186.6820472362,13.1017052652
274,26.07.2023 15:37:13.360,-47.430212447,186.6620946662,12.9348786632
275,26.07.2023 15:37:13.370,-46.9681306529999,186.6388085262,12.7690625342
276,26.07.2023 15:37:13.380,-46.5058455709999,186.6295106732,12.5901970142
277,26.07.2023 15:37:13.390,-46.032807033,186.6248438652,12.4143175672
278,26.07.2023 15:37:13.400,-45.572237705,186.6105036782,12.2534695722
279,26.07.2023 15:37:13.410,-45.087506333,186.6115550342,12.0895726302
280,26.07.2023 15:37:13.420,-44.615464573,186.6418916332,11.9145694732
281,26.07.2023 15:37:13.430,-44.140257807,186.6694217652,11.7445769542
282,26.07.2023 15:37:13.440,-43.6578101709999,186.6753827152,11.5896622412
283,26.07.2023 15:37:13.450,-43.171684991,186.6695589422,11.4417899692
284,26.07.2023 15:37:13.460,-42.6841306009999,186.6737940392,11.2828824552
285,26.07.2023 15:37:13.470,-42.212064359,186.6861524072,11.1219428232
286,26.07.2023 15:37:13.480,-41.763731545,186.6931563832,10.9630168152
287,26.07.2023 15:37:13.490,-41.298310601,186.6991043822,10.7960982822
288,26.07.2023 15:37:13.500,-40.8409630549999,186.6885655022,10.6292361202
289,26.07.2023 15:37:13.510,-40.373976907,186.6495511102,10.4684766052
290,26.07.2023 15:37:13.520,-39.913264217,186.6151583402,10.2996993372
291,26.07.2023 15:37:13.530,-39.448212893,186.6100390682,10.1248197162
292,26.07.2023 15:37:13.540,-38.976256651,186.6243306682,9.94587312220002
293,26.07.2023 15:37:13.550,-38.488985697,186.6335329092,9.77994797520003
294,26.07.2023 15:37:13.560,-38.0160085969999,186.6299350292,9.62406487320002
295,26.07.2023 15:37:13.570,-37.530506621,186.6350333282,9.4591538182
